Name% Location% Arena%
DC Defenders%	Washington, D.C.%	Audi Field%
New York Guardians%	East Rutherford, New Jersey%	MetLife Stadium%
St. Louis BattleHawks%	St. Louis, Missouri%	The Dome at America's Center%
Tampa Bay Vipers%	Tampa, Florida%	Raymond James Stadium%
Dallas Renegades%	Arlington, Texas%	Globe Life Park in Arlington%
Houston Roughnecks%	Houston, Texas%	TDECU Stadium%
Los Angeles Wildcats%	Carson, California%	Dignity Health Sports Park%
Seattle Dragons%	Seattle, Washington%	CenturyLink Field%
Arizona Rattlers%	Phoenix, Arizona%	Talking Stick Resort Arena%
Bismarck Bucks%	Bismarck, North Dakota%	Bismarck Event Center%
Cedar Rapids River Kings%	Cedar Rapids, Iowa%	U.S. Cellular Center%
Duke City Gladiators%	Albuquerque, New Mexico%	Tingley Coliseum%
Frisco Fighters%	Frisco, Texas%	Comerica Center%
Green Bay Blizzard% Green Bay, Wisconsin%	Resch Center%
Iowa Barnstormers%	Des Moines, Iowa%	Wells Fargo Arena%
Oakland Panthers%	Oakland, California%	Oakland Arena%
Quad City Steamwheelers%	Moline, Illinois%	TaxSlayer Center%
San Diego Strike Force%	San Diego, California%	Pechanga Arena%
Sioux Falls Storm%	Sioux Falls, South Dakota%	Denny Sanford Premier Center%
Spokane Shock%	Spokane, Washington%	Spokane Veterans Memorial Arena%
Tucson Sugar Skulls%	Tucson, Arizona%	Tucson Convention Center%
Omaha Beef%	Ralston, Nebraska%	Ralston Arena%
Salina Liberty%	Salina, Kansas%	Tony's Pizza Events Center%
Sioux City Bandits%	Sioux City, Iowa%	Tyson Events Center%
Wichita Force%	Wichita, Kansas%	Hartman Arena%
Amarillo Venom%	Amarillo, Texas%	Amarillo Civic Center%
Oklahoma Flying Aces%	Enid, Oklahoma%	Stride Bank Center%
Texas Warbirds%	Odessa, Texas%	Ector County Coliseum%
Carolina Cobras%	Greensboro, North Carolina%	Greensboro Coliseum Complex%
Columbus Lions%	Columbus, Georgia%	Columbus Civic Center%
Jacksonville Sharks%	Jacksonville, Florida%	VyStar Veterans Memorial Arena%
Jersey Flight%	Trenton, New Jersey%	CURE Insurance Arena%
Massachusetts Pirates%	Worcester, Massachusetts%	DCU Center%
Orlando Predators%	Orlando, Florida%	Amway Center%
Virginia Roughriders%	Wheeling, West Virginia%	WesBanco Arena%
Carolina Cowboyz%	Pendleton, North Carolina%	T. Ed Garrison Arena%
Carolina Predators%	Greenville, South Carolina%	Traveling team%
Charlotte Thunder%	Charlotte, North Carolina%	Bojangles' Coliseum%
Central Penn Chargers%	East Petersburg, Pennsylvania%	Lanco Fieldhouse%
Indianapolis Enforcers%	Indianapolis, Indiana%	Indiana Farmers Coliseum%
Jersey Bearcats%	Metuchen, New Jersey%	SportsPlex at Metuchen%
Maryland Eagles%	Silver Spring, Maryland%	Wheaton Sports Pavilion%
Music City Fire%	Franklin, Tennessee%	Williamson County AgExpo Park%
Pennsylvania Union%	Harrisburg, Pennsylvania%	%
